Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,IC50
CHEMBL5182785,,392.48,0,3.18,Y31,NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,0.41
CHEMBL4461392,,646.69,1,3.18,10,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)n2)CC1,0.4365
CHEMBL4870960,,467.5,0,3.97,II-2,Cc1ccc2nc3n(c2c1)CCN(C(=O)c1cc(Cc2n[nH]c(=O)c4ccccc24)ccc1F)C3,0.47
CHEMBL4860422,,453.48,0,3.66,II-1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nc3ccccc32)C1,0.49
CHEMBL5174780,,618.67,2,5.2,I-4,Cc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,0.49
CHEMBL5179882,,406.49,0,1.93,8m,CCc1cc2ncc(CN3CC[C@@H](Nc4ccc(C(=O)NC)nc4)C3)cc2[nH]c1=O,0.49
CHEMBL4161414,,460.48,0,3.75,29,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2)CC1,0.5
CHEMBL595679,,389.5,0,2.74,47,O=C1NCC2c3c(cccc31)CCN2C(=O)CN1CCC(c2ccccc2)CC1,0.5
CHEMBL4546114,,510.53,1,2.91,96f,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2C(=O)N(Cc3ccccc3)C(=O)C2C1,0.5
CHEMBL4867531,,471.47,0,3.8,II-4,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nc3ccc(F)cc32)C1,0.51
CHEMBL5089136,,438.5,0,2.43,24,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC,0.51
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,"(8S,9R)-47; BMN 673; Talazoparib",Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.57
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,BMN-673,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.57
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,Talazoparib,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.57
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,BMN 673,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.58
CHEMBL5193674,,418.5,0,1.56,8i,CCc1cc2ncc(CN3CC4(C3)CN(c3ccc(C(=O)NC)nc3)C4)cc2[nH]c1=O,0.59
CHEMBL5188771,,634.67,1,4.9,26,COc1ccccc1NC(=O)c1ccc(NC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1,0.59
CHEMBL4787850,,387.49,0,2.74,12,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cccc4c(=O)[nH]3)CC2)cc1,0.6
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,"(8S,9R)-47; BMN 673; Talazoparib",Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.6
CHEMBL4747106,,411.51,0,3.35,23,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cccc5c(=O)[nH]4)CC3)CC2)cc1,0.6
CHEMBL4167280,,476.48,0,3.46,43,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(O)cc2)CC1,0.6
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.6
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,4,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.6
CHEMBL4748390,,405.48,0,2.88,11,N#Cc1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.6
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.6
CHEMBL5208255,,365.45,0,4.1,Y17,CCN(CC)Cc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.61
CHEMBL4868967,,481.53,0,4.55,I-5,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC(c2nc3ccccc3[nH]2)CC1,0.63
CHEMBL521686,OLAPARIB,434.47,0,2.35,ola,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.63
CHEMBL5179448,,445.53,0,1.81,7l,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)c5nccn45)CC3)cc2[nH]c1=O,0.63
CHEMBL4437593,,645.7,1,3.79,12,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3cccc4[nH]ccc34)nc(N3CCOCC3)n2)CC1,0.6457
CHEMBL5095220,AZD-5305,406.49,0,1.56,AZD5305,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,0.65
CHEMBL5203682,,392.48,0,3.05,Y29,C[C@@H]1CN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CCN1,0.66
CHEMBL4549595,,646.69,1,3.18,11,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4cn[nH]c4c3)nc(N3CCOCC3)n2)CC1,0.6761
CHEMBL4525998,,645.7,1,3.79,13,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3ccc4[nH]ccc4c3)nc(N3CCOCC3)n2)CC1,0.6918
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,3,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.7
CHEMBL591515,,525.37,1,3.89,36,N#Cc1cccnc1N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,0.7
CHEMBL4436980,,639.67,1,3.03,8,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)c(F)c1,0.7244
CHEMBL521686,OLAPARIB,434.47,0,2.35,AZD2281,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.73
CHEMBL3907010,,486.43,0,3.48,22,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21,0.74
CHEMBL3907010,,486.43,0,3.48,BDBM206061,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21,0.74
CHEMBL4461382,,623.65,2,1.68,27,Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cn1,0.78
CHEMBL5185522,,389.46,0,2.08,7e,CCc1cc2ncc(CN3CCN(c4ccc5[nH]ncc5n4)CC3)cc2[nH]c1=O,0.78
CHEMBL4175790,,528.48,1,4.77,35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2cccc(C(F)(F)F)c2)CC1,0.8
CHEMBL4162463,,480.56,0,4.27,26,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(C2CCCCCC2)CC1,0.8
CHEMBL4786854,,437.52,0,2.36,14,CNC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.8
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,2,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.8
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.8
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,2; AG014699,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.8
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,AG014699,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.8044
CHEMBL5084022,,466.51,0,2.35,38,CCC(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1CC,0.83
CHEMBL4461382,,623.65,2,1.68,4,Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cn1,0.8318
CHEMBL4571423,,639.67,1,3.03,7,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1F,0.8318
CHEMBL4753410,,447.49,0,3.63,24,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)c(F)c1,0.9
CHEMBL4781887,,398.46,0,3.14,10,Nc1cc(F)cc2c(=O)[nH]c(CCCN3CCN(c4ccc(F)cc4)CC3)cc12,0.9
CHEMBL4160023,,461.47,0,3.15,46,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccncc2)CC1,0.9
CHEMBL521686,OLAPARIB,434.47,0,2.35,BDBM27566,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.9
CHEMBL4789581,,415.47,0,3.3,32,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncc(F)cc5c(=O)[nH]4)CC3)CC2)cc1,0.9
CHEMBL521686,OLAPARIB,434.47,0,2.35,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.9
CHEMBL4175142,,476.48,0,3.46,44,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2O)CC1,0.9
CHEMBL4112930,PAMIPARIB,298.32,0,2.08,BDBM207624,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,0.9
CHEMBL5190645,,389.46,0,2.08,7d,CCc1cc2ncc(CN3CCN(c4cnc5cn[nH]c5c4)CC3)cc2[nH]c1=O,0.9
CHEMBL4865059,,613.7,2,2.68,23a,Cc1c(CN2CCN(C(=O)c3cc4cccc(C(N)=O)c4o3)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0.91
CHEMBL5178741,,406.49,0,1.93,8j,CCc1cc2ncc(CN3CCC(Nc4ccc(C(=O)NC)nc4)C3)cc2[nH]c1=O,0.94
CHEMBL5197357,,392.48,0,3.18,Y49,NC1CCN(Cc2cccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)c2)CC1,0.96
CHEMBL5179949,,622.63,2,5.03,I-5,O=C(Nc1ccccc1F)c1ccc(NC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1,0.98
CHEMBL3740104,,450.5,0,2.74,1; AZ9482,N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,1
CHEMBL190434,,439.54,0,2.51,11a,O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,1
CHEMBL593364,,271.32,0,0.08,43,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CNC1,1
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,2; BMN-673,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1
CHEMBL593363,,285.35,0,0.47,42,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCNC1,1
CHEMBL603135,,551.41,1,4.57,40,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncc3ccccc3n2)CC1,1
CHEMBL190434,,439.54,0,2.51,67,O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,1
CHEMBL595018,,307.35,0,1.49,33,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1cccnc1,1
CHEMBL598543,,507.39,1,3.99,21,CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,1
CHEMBL604291,,402.86,0,2.45,3,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)cn23)ccc1F)N1CCCNCC1,1
CHEMBL596354,,360.42,0,2.3,37,O=C1NCC2c3c(cccc31)CCN2C(=O)CCn1cnc2ccccc21,1
CHEMBL506871,VELIPARIB,244.3,0,1.26,ABT-888,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1
CHEMBL589834,,477.37,0,3.97,47,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCC(N2CCC2)CC1,1
CHEMBL3901209,,367.21,0,3.98,BDBM240716,NCCOc1c(-c2ccc(Cl)c(Cl)c2)[nH]c(=O)c2cc(F)ccc12,1
CHEMBL4755076,,429.5,0,3.49,22,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)cc1,1
CHEMBL4746309,,398.47,0,2.56,33,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)nc1,1
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1
CHEMBL5191912,,415.44,0,2.8,7a,CCc1cc2ncc(CN3CCN(c4ccc(OC(F)F)nc4)CC3)cc2[nH]c1=O,1
CHEMBL3644587,2X-121,317.35,0,2.39,"20; 2X-121, E7749",O=c1[nH]nc2c3c(cccc13)N=C(CN1Cc3ccccc3C1)N2,1
CHEMBL4551779,,622.67,2,2.28,5,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cn1,1.072
CHEMBL4436366,,639.67,1,3.03,9,Nc1cc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)ccc1F,1.096
CHEMBL3764816,,380.36,0,2.63,Talazoparib,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,1.1
CHEMBL4107982,,280.33,0,1.94,BDBM207623,C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34,1.1
CHEMBL506871,VELIPARIB,244.3,0,1.26,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.1
CHEMBL3764920,,426.5,0,4.57,"(8S,9R)-57",O=c1[nH]nc2c3c(cccc13)N[C@H](c1ccc(CN3CCC3)cc1)[C@H]2c1ccc(F)cc1,1.1
CHEMBL4776820,,397.48,0,3.16,34,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5ncccc5c(=O)[nH]4)CC3)CC2)cc1,1.1
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.1
CHEMBL3764816,,380.36,0,2.63,Talazoparib,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,1.122
CHEMBL4446789,,690.66,2,3.3,3,Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1C(F)(F)F,1.122
CHEMBL5193574,,492.6,0,4.75,Y35,CC(C)(C)OC(=O)NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,1.17
CHEMBL521686,OLAPARIB,434.47,0,2.35,Ola,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.175
CHEMBL4438927,,621.68,1,2.89,6,Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)n2)cc1,1.175
CHEMBL5170407,,456.53,0,3.37,Y36,O=C1NCCc2c(-c3ccc(CN4CCN(c5ncccn5)CC4)cc3)[nH]c3cc(F)cc1c23,1.19
CHEMBL521686,OLAPARIB,434.47,0,2.35,Ola,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.2
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.26
CHEMBL4569417,,568.72,,,29,CC(C)(C)[Si](C)(C)OCCCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1=O,1.29
CHEMBL4174093,,486.48,0,3.02,47,N#Cc1cccnc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,1.3
CHEMBL597927,,455.53,0,1.54,25,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)[C@@]4(C)CCCN4)CC3)c2)n[nH]c(=O)c1C,1.3
CHEMBL5205419,,388.48,0,2.68,7g,CCc1cc2ncc(CN3CCN(c4ccc5cc[nH]c5n4)CC3)cc2[nH]c1=O,1.3
CHEMBL4112930,PAMIPARIB,298.32,0,2.08,139; BGB-290,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,1.3
CHEMBL5183006,,420.49,0,2.92,Y20,CC(=O)N1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,1.31
CHEMBL5083950,,464.54,0,2.82,32,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC1CC1,1.31
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.38
CHEMBL4067999,,451.5,0,2.33,11d,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(CCC2CC2)C1,1.4
CHEMBL521686,OLAPARIB,434.47,0,2.35,Olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.4
CHEMBL596713,,551.41,1,4.57,41,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncnc3ccccc23)CC1,1.4
CHEMBL1098296,,292.34,0,1.77,18,NC(=O)c1cccc2cn(-c3ccc4c(c3)CCNC4)nc12,1.4
CHEMBL610171,,298.32,0,1.98,37,CNCc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)cc1,1.4
CHEMBL1098296,,292.34,0,1.77,14,NC(=O)c1cccc2cn(-c3ccc4c(c3)CCNC4)nc12,1.4
CHEMBL4161687,,412.44,0,2.57,21,CCN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,1.4
CHEMBL521686,OLAPARIB,434.47,0,2.35,16,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.4
CHEMBL3763446,,362.37,0,2.49,"(8S,9R)-46",Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cccc(c23)N[C@@H]1c1ccc(F)cc1,1.46
CHEMBL506871,VELIPARIB,244.3,0,1.26,Vel,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.479
CHEMBL506871,VELIPARIB,244.3,0,1.26,Vel,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.5
CHEMBL4858564,,706.81,2,3.8,9a,Cc1c(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1.5
CHEMBL5189723,,622.63,2,5.03,I-7,O=C(Nc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1,1.54
CHEMBL5174694,,422.5,0,2.37,Y23,O=C1NCCc2c(-c3ccc(CN4CCN(CCO)CC4)cc3)[nH]c3cc(F)cc1c23,1.54
CHEMBL521686,OLAPARIB,434.47,0,2.35,1; AZD2281,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.55
CHEMBL521686,OLAPARIB,434.47,0,2.35,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.6
CHEMBL521686,OLAPARIB,434.47,0,2.35,1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1.6
CHEMBL610164,,382.44,0,2.1,2,Cc1cc2c(=O)[nH]cc(Cc3ccc(F)c(C(=O)N4CCCNCC4)c3)n2c1,1.6
CHEMBL599793,,437.3,0,3.1,5,O=C(c1cc(Cc2c[nH]c(=O)c3c(Cl)c(Cl)cn23)ccc1F)N1CCCNCC1,1.6
CHEMBL3764202,,379.37,0,3.23,"(8S,9R)-42",Cn1ccnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,1.6
CHEMBL5178741,,406.49,0,1.93,8j,CCc1cc2ncc(CN3CCC(Nc4ccc(C(=O)NC)nc4)C3)cc2[nH]c1=O,1.61
CHEMBL5172909,,618.67,2,5.2,I-2,Cc1ccccc1NC(=O)c1ccc(NC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1,1.62
